Tlab, partial wave, pn, delta, error
250, 1D2,  pn,  8.53, 0.0
300, 1D2,  pn,  9.69, 0.0
350, 1D2,  pn, 10.96, 0.0
  1, 1G4,  pn,  0.00, 0.0
  5, 1G4,  pn,  0.00, 0.0
 10, 1G4,  pn,  0.00, 0.0
 25, 1G4,  pn,  0.03, 0.0
 50, 1G4,  pn,  0.13, 0.0
100, 1G4,  pn,  0.39, 0.0
150, 1G4,  pn,  0.68, 0.0
200, 1G4,  pn,  0.98, 0.0
250, 1G4,  pn,  1.28, 0.0
300, 1G4,  pn,  1.52, 0.0
350, 1G4,  pn,  1.67, 0.0
  1, 3P0,  pn,  0.18, 0.0
  5, 3P0,  pn,  1.63, 0.0
 10, 3P0,  pn,  3.65, 0.0
 25, 3P0,  pn,  8.13, 0.0
 50, 3P0,  pn, 10.70, 0.0
100, 3P0,  pn,  8.46, 0.0
150, 3P0,  pn,  3.69, 0.0
200, 3P0,  pn, -1.44, 0.0
250, 3P0,  pn, -6.51, 0.0
300, 3P0,  pn,-11.47, 0.0
350, 3P0,  pn,-16.39, 0.0
  1, 3P1,  pn,  -0.11, 0.0
  5, 3P1,  pn,  -0.94, 0.0
 10, 3P1,  pn,  -2.06, 0.0
 25, 3P1,  pn,  -4.88, 0.0
 50, 3P1,  pn,  -8.25, 0.0
100, 3P1,  pn, -13.24, 0.0
150, 3P1,  pn, -17.46, 0.0
200, 3P1,  pn, -21.30, 0.0
250, 3P1,  pn, -24.84, 0.0
300, 3P1,  pn, -28.07, 0.0
350, 3P1,  pn, -30.97, 0.0
  1, 3F3,  pn, -0.00, 0.0
  5, 3F3,  pn, -0.00, 0.0
 10, 3F3,  pn, -0.03, 0.0
 25, 3F3,  pn, -0.20, 0.0
 50, 3F3,  pn, -0.62, 0.0
100, 3F3,  pn, -1.41, 0.0
150, 3F3,  pn, -1.98, 0.0
200, 3F3,  pn, -2.36, 0.0
250, 3F3,  pn, -2.60, 0.0
300, 3F3,  pn, -2.73, 0.0
350, 3F3,  pn, -2.76, 0.0
  1, 3P2,  pn,   0.02, 0.0
  5, 3P2,  pn,   0.25, 0.0
 10, 3P2,  pn,   0.71, 0.0
 25, 3P2,  pn,   2.56, 0.0
 50, 3P2,  pn,   5.89, 0.0
100, 3P2,  pn,  10.94, 0.0
150, 3P2,  pn,  13.84, 0.0
200, 3P2,  pn,  15.46, 0.0
250, 3P2,  pn,  16.39, 0.0
300, 3P2,  pn,  16.95, 0.0
350, 3P2,  pn,  17.31, 0.0
  1, 3P2-3F2, pn, -0.00, 0.0
  5, 3P2-3F2, pn, -0.05, 0.0
 10, 3P2-3F2, pn, -0.18, 0.0
 25, 3P2-3F2, pn, -0.76, 0.0
 50, 3P2-3F2, pn, -1.63, 0.0
100, 3P2-3F2, pn, -2.58, 0.0
150, 3P2-3F2, pn, -2.80, 0.0
200, 3P2-3F2, pn, -2.70, 0.0
250, 3P2-3F2, pn, -2.49, 0.0
300, 3P2-3F2, pn, -2.30, 0.0
350, 3P2-3F2, pn, -2.18, 0.0
  1, 3F2, pn,  0.00, 0.0
  5, 3F2, pn,  0.00, 0.0
 10, 3F2, pn,  0.01, 0.0
 25, 3F2, pn,  0.09, 0.0
 50, 3F2, pn,  0.30, 0.0
100, 3F2, pn,  0.76, 0.0
150, 3F2, pn,  1.12, 0.0
200, 3F2, pn,  1.33, 0.0
250, 3F2, pn,  1.35, 0.0
300, 3F2, pn,  1.19, 0.0
350, 3F2, pn,  0.87, 0.0
  1, 3F4, pn, 0.00, 0.0
  5, 3F4, pn, 0.00, 0.0
 10, 3F4, pn, 0.00, 0.0
 25, 3F4, pn, 0.02, 0.0
 50, 3F4, pn, 0.10, 0.0
100, 3F4, pn, 0.45, 0.0
150, 3F4, pn, 0.99, 0.0
200, 3F4, pn, 1.63, 0.0
250, 3F4, pn, 2.26, 0.0
300, 3F4, pn, 2.81, 0.0
350, 3F4, pn, 3.21, 0.0
  1, 3F4-3H4, pn,  -0.00, 0.0
  5, 3F4-3H4, pn,  -0.00, 0.0
 10, 3F4-3H4, pn,  -0.00, 0.0
 25, 3F4-3H4, pn,  -0.04, 0.0
 50, 3F4-3H4, pn,  -0.17, 0.0
100, 3F4-3H4, pn,  -0.49, 0.0
150, 3F4-3H4, pn,  -0.79, 0.0
200, 3F4-3H4, pn,  -1.05, 0.0
250, 3F4-3H4, pn,  -1.26, 0.0
300, 3F4-3H4, pn,  -1.42, 0.0
350, 3F4-3H4, pn,  -1.54, 0.0
  1, 3H4, pn, 0.00, 0.0
  5, 3H4, pn, 0.00, 0.0
 10, 3H4, pn, 0.00, 0.0
 25, 3H4, pn, 0.00, 0.0
 50, 3H4, pn, 0.02, 0.0
100, 3H4, pn, 0.09, 0.0
150, 3H4, pn, 0.19, 0.0
200, 3H4, pn, 0.29, 0.0
250, 3H4, pn, 0.39, 0.0
300, 3H4, pn, 0.48, 0.0
350, 3H4, pn, 0.56, 0.0
  1, 1S0, pp, 32.65092, 0.00274
  5, 1S0, pp, 54.84141, 0.00647    
 10, 1S0, pp, 55.25599, 0.00963    
 25, 1S0, pp, 48.78914, 0.01328    
 50, 1S0, pp, 39.18507, 0.01707    
100, 1S0, pp, 25.44367, 0.03279    
150, 1S0, pp, 15.25426, 0.04580    
200, 1S0, pp,  7.04055, 0.05666    
250, 1S0, pp,  0.31849, 0.07369    
300, 1S0, pp, -5.09825, 0.10036    
350, 1S0, pp, -9.34211, 0.13442    
  1, 1D2, pp,  0.00086, 0.00000
  5, 1D2, pp,  0.04218, 0.00002
 10, 1D2, pp,  0.16441, 0.00013
 25, 1D2, pp,  0.69365, 0.00104
 50, 1D2, pp,  1.70906, 0.00366
100, 1D2, pp,  3.78136, 0.00783
150, 1D2, pp,  5.61756, 0.01419
200, 1D2, pp,  7.19176, 0.02150
250, 1D2, pp,  8.53785, 0.02418
300, 1D2, pp,  9.57710, 0.03105
350, 1D2, pp, 10.18276, 0.05201
  1, 1G4, pp,   0.00000, 0.00000 
  5, 1G4, pp,   0.00021, 0.00000 
 10, 1G4, pp,   0.00285, 0.00000 
 25, 1G4, pp,   0.03969, 0.00001 
 50, 1G4, pp,   0.15214, 0.00014 
100, 1G4, pp,   0.41793, 0.00186 
150, 1G4, pp,   0.70303, 0.00640 
200, 1G4, pp,   1.00645, 0.01225 
250, 1G4, pp,   1.30730, 0.01656 
300, 1G4, pp,   1.58594, 0.01911 
350, 1G4, pp,   1.84246, 0.02592 
  1, 3P0, pp,   0.13321, 0.00020
  5, 3P0, pp,   1.58240, 0.00285
 10, 3P0, pp,   3.73658, 0.00764
 25, 3P0, pp,   8.60671, 0.02036
 50, 3P0, pp,  11.52359, 0.03216
100, 3P0, pp,   9.49742, 0.05643
150, 3P0, pp,   4.81561, 0.06580
200, 3P0, pp,  -0.22713, 0.06169
250, 3P0, pp,  -5.12127, 0.06284
300, 3P0, pp,  -9.66323, 0.08922
350, 3P0, pp, -13.67690, 0.14145
  1, 3P1, pp,  -0.0797, 0.0000
  5, 3P1, pp,  -0.8924, 0.0006
 10, 3P1, pp,  -2.0367, 0.0018
 25, 3P1, pp,  -4.8623, 0.0060
 50, 3P1, pp,  -8.2081, 0.0123
100, 3P1, pp, -13.2587, 0.0185
150, 3P1, pp, -17.6198, 0.0245
200, 3P1, pp, -21.5057, 0.0363
250, 3P1, pp, -24.9032, 0.0506
300, 3P1, pp, -27.8107, 0.0641
350, 3P1, pp, -30.2210, 0.0756
  1, 3F3, pp,  -0.00002, 0.00000 
  5, 3F3, pp,  -0.00439, 0.00000 
 10, 3F3, pp,  -0.03122, 0.00001 
 25, 3F3, pp,  -0.22992, 0.00019 
 50, 3F3, pp,  -0.68201, 0.00155 
100, 3F3, pp,  -1.47272, 0.00867 
150, 3F3, pp,  -2.06129, 0.01947 
200, 3F3, pp,  -2.50503, 0.03289 
250, 3F3, pp,  -2.71798, 0.04575 
300, 3F3, pp,  -2.54728, 0.05400 
350, 3F3, pp,  -1.92230, 0.06789 
  1, 3P2, pp,  0.01366, 0.00005
  5, 3P2, pp,  0.21305, 0.00066
 10, 3P2, pp,  0.64781, 0.00174
